ContactId,FirstName,LastName,Email,Phone,AccountName,Industry,AnnualRevenue,NumberOfEmployees,LeadSource,CreatedDate,LastActivityDate,TotalSpend,SupportCasesOpened,MarketingEngagementScore,CustomerStatus
003F5MOpooFx0klKq0,Jenna,Lynch,jenna.lynch@normanandsons.com,(607)533-1347,Norman and Sons,Technology,97128887,7828,Phone Inquiry,2023-03-20 18:12:10,2023-11-14 18:12:10,574275.85,27,91,Churned
0032a05fkRkDmLPEbZ,Lisa,Burnett,lisa.burnett@vaughn.com,(935)627-9947x1870,"Vaughn, Reynolds and Pace",Healthcare,18064886,400,Web,2022-11-26 17:02:27,2025-01-20 07:31:25,1298180.81,5,86,Prospect
003Byziav0h2Tjksua,Michael,Carpenter,michael.carpenter@jordan-smith.com,(577)945-5105,Jordan-Smith,Healthcare,2004488,184,Partner Referral,2021-10-06 21:19:32,2023-09-23 04:11:54,148237.11,19,100,Active
0039nkg4q5RLqzj6HV,Jessica,Scott,jessica.scott@lopez.com,001-635-459-6055,"Lopez, Goodman and Tanner",Healthcare,17257589,205,Purchased List,2025-06-08 03:05:53,2025-08-12 17:01:41,1170305.85,15,75,Prospect
003KMHwLzhU1Myfshz,Jason,Anderson,jason.anderson@gardner-miller.com,8816740907,Gardner-Miller,Consulting,3580248,378,Partner Referral,2022-03-17 05:23:02,2025-09-28 16:52:51,282992.84,1,41,Prospect
003b6zFGEUNvwtp4Wl,Jasmine,Murphy,jasmine.murphy@cervantesltd.com,968.682.6467x65362,Cervantes Ltd,Consulting,13541230,498,Web,2022-12-10 08:26:04,2025-01-16 16:46:47,1281593.35,15,94,Prospect
003J1Nc4sa2KeN2UO8,Nicole,Hansen,nicole.hansen@johnson.com,6003135989,"Johnson, Berry and Hernandez",Consulting,18987487,169,Other,2021-06-23 13:17:42,2022-05-04 13:17:42,203101.63,49,15,Churned
0038h7KWmaKm9ZZBPR,Michael,Taylor,michael.taylor@higgins-shepherd.com,305.289.4856x771,Higgins-Shepherd,Finance,7035016,5414,Purchased List,2025-04-18 03:25:42,2025-09-18 03:25:42,17195.96,23,16,Churned
003flBGzBlbmybiyJP,Kimberly,Martinez,kimberly.martinez@jones-espinoza.com,371.580.2296x7357,Jones-Espinoza,Retail,15497970,412,Other,2023-03-03 06:56:01,2023-06-04 06:56:01,208977.14,30,76,Churned
0034DnMURglMGNcerO,April,Reese,april.reese@reilly.com,+1-256-216-9532x0004,"Reilly, Rosales and Tran",Technology,87872874,8829,Phone Inquiry,2024-12-16 02:39:12,2025-04-19 09:14:28,2904528.01,15,99,Prospect
003pbpGxGZC2ewRwcP,Alicia,Wise,alicia.wise@castilloplc.com,(264)947-7019,Castillo PLC,Technology,38966287,1913,Purchased List,2021-12-25 18:12:52,2025-09-11 02:43:22,3680468.08,11,97,Prospect
003DWziOUroy4x3n80,Denise,Mccormick,denise.mccormick@wilson.com,(276)335-1154x35496,"Wilson, Anderson and Velazquez",Finance,44640155,1177,Purchased List,2025-02-03 09:02:37,2025-06-28 07:25:04,981662.79,22,37,Prospect
0032mQQGUFjQi19Cri,Erica,Miller,erica.miller@raygroup.com,988.918.4836,Ray Group,Manufacturing,7620545,1709,Other,2021-08-21 01:46:20,2023-10-05 23:46:26,476821.53,24,87,Active
003tCn0ICOeSt7xsjU,Monique,Bryant,monique.bryant@torresandsons.com,633-925-1034,Torres and Sons,Retail,7913739,256,Partner Referral,2023-01-02 15:23:19,2025-07-20 23:48:50,762538.27,2,54,Prospect
00343Wgrdlz107EvOn,Steven,Oconnor,steven.oconnor@mcdaniel-calhoun.com,244-414-1452,Mcdaniel-Calhoun,Technology,28394106,5015,Purchased List,2023-05-21 23:59:24,2024-02-10 23:59:24,301348.83,50,51,Churned
003VoLiAmOPKfwdK3k,William,Young,william.young@englishllc.com,001-296-663-6024x77555,English LLC,Consulting,17941199,135,Other,2021-05-29 15:25:04,2021-10-30 15:25:04,296504.02,40,85,Churned
003NdqmUg6eLSorsMG,Jamie,Burton,jamie.burton@bryanandsons.com,+1-345-278-7067x38625,Bryan and Sons,Technology,33042490,9710,Web,2023-04-20 20:50:06,2024-03-11 20:50:06,137038.59,45,80,Churned
003XgkeXKywiOpV8QP,Brooke,Harrell,brooke.harrell@guerrerogroup.com,9767193106,Guerrero Group,Finance,98332907,1135,Other,2023-10-27 03:27:27,2024-09-10 05:42:27,9258619.66,23,31,Active
003JC3iAlv36bIPOG2,Andrea,Walker,andrea.walker@vega-schwartz.com,823-815-3708x90458,Vega-Schwartz,Finance,53192865,6120,Phone Inquiry,2024-10-21 19:57:36,2025-07-08 01:56:37,4075534.24,1,58,Prospect
0035Uh5xw3Lj4cG06D,Peter,Hall,peter.hall@gray.com,908-679-1322x56046,"Gray, Schaefer and Stafford",Finance,13003241,5310,Other,2024-12-23 20:49:50,2025-07-18 13:21:36,954640.1,49,30,Active
003wH3uAEKm3MH9Uid,Ray,Green,ray.green@watkinsltd.com,(607)451-7357x01020,Watkins Ltd,Finance,99623184,7059,Other,2024-02-07 02:53:55,2025-05-13 10:02:43,4649428.69,28,5,Active
